,Customer Reviews
1,Camera quality is just fabulous. Interface is very smooth.  Good for photography and videography.
2,Awesome Camera
3,Best iPhone till date 💕
4,Amazing phone  In love with this phone
5,Awesome
6,This is the value for money phone. For Flipkart:On time delieveryAlways best serviceFeedback call received after 5 daysApple:One word: SuperbPicture Quality Ultimate
7,Performance is soooo fastEspecially faceid detection is awesome even in darkNo need to carry an dslr .this is more than enough attaching puc taken by this
8,Super
9,Awesome camera quality…just love it
10,I am very happy with I phone 12Very Nice Product Thanku Flipkart
11,Go for it
12,"display is good , processor is awesome"
13,"Excellent camera , good performance,average battery"
14,"Everything is great except the battery life, camera is awesome"
15,Nice camera 📸
16,Great camera
17,Nice phone with good build qualityExcellent Camera
18,Classic
19,Good
20,Excellent
21,Nice phone 😍
22,Just go for itI purchased 128 gb purple colour The phone is beast
23,"Wow superb camera phone Very smooth speed and no lag , iphone is the king always Its a beautiful product"
24,The brand is very trustworthy and i got genuine pice at a very low cost.I ordered the green one and trust me the colour was amazing.All the colours but specifically green and purple are nice for look.Thanks to flipkart❤️
25,Awesome phone … value for money.. Happy with battery life.. Awesome camera features… look at the images snapped using the phone… easy to use.. Just feared about getting scratch at back glass… but using cover helped it…
26,Good
27,Upgraded from iPhone 7 plus after using for more then 3yrs. Excellent built & box design looks great. Night mode clicks look fabulous.
28,This z my frst iphone n … outstanding phone …must buy.😍😍😍😍😍
29,Love it.
30,"Top class performance  and battery backup too. Charges quickly if u are using a 20w charger. Night mode is good , HDR mode works flawlessly. VFM phone."
31,"Excellent product worth for every penny, writing this review after using 7 days, earlier was using iPhone 6Plus now on iPhone 12 😍, faster then anything this else.Excellent Picture quality.Just loved it.!!"
32,Nice
33,Excellent.. Product ❤
34,"Guys ,this is just Beast at Every Aspect of Configurations, Full Pack with What You want, Like Best Camera , Best Display, Best Battery for whole Day Use, And Everyone know About Processing Speed👌.."
35,Don't think too much.. Just go for it.. If you are a clicker then you are gonna love it.. Display sound features are as usually excellent..
36,Excellent camera and awesome performance
37,Just love it …..😍😍😍
38,Best performance iPhone!! Loving it ❤️
39,Thanks flipkart i trust you got my device perfectly loved it best phone in it's segment
40,"Almost 1month of purshase and i am loving it . Great for photography and videography and trust me the stability of video is awesome . High end performence in Gaming , the only problem is that it heats up a little while playing Bgmi but if u play in a AC room then there's no issue .The boxy look of iphone 12 is very good and it gives a premium feel while holding . worth buying . also if you are confused between iph 11 or iph12 then close your eyes and go for iphone 12 ."
41,"Thanx flipkart for value super sale for short time period of 1hour😁, flipkart might need to work on faster deliveryIphone 12 which i got in best price on flipkart1. Camera performance - superb2. Display - superb3. Interface - Amazing"
42,Very nice Camera
43,Best ever Mobile. Worth every penny. Overall a good purchase. Processor is superfast. Loved it
44,"Night picture quality awesome, portrait is real portrait"
45,Awesome look
46,Best in class!!!
47,"Flipkart delivered the phone quick. I ordered it during big billion day and got the 128gb version for 54k. I upgraded from 6s to 12, I love the phone and its looks stunning. Camera is awesome. All over a nice phone."
48,"I really m glad that i went for i phone in place of all other android devices like the Samsung S series nd one plus . Also , m amazed by the battery life in this i phone . Single charge and its last for a day easily ..Even the gaming experience was great"
49,The design is superb I just love it. Awesome feeling while in hand
50,Camera extraordinary and I loved it😍😍😍
51,Amazing looks.
52,Love to have that mobile. Once again back on apple product after iphone 5s. Very smooth.
53,"My 1st iPhone ever and I’m loving it. Great performance, awesome display, camera is outstanding which comes with heavily priced. But worth it. White color looks super cool. 🎉😊😍"
54,I always prefer iPhone because of their camera quality n camera quality of iPhone 12 is top notch.
55,Great feeling ios14
56,It is a very good product with amazing features.Looks great!
57,Wow💯
58,Very cool colour I loved it.
59,"Perfect phone , Apple after allGo for it eyes closed if in the budget.Camera best quality, crystal clear photos and super stable videos at 4k 30/60 fps,best slow motion in the phone ever.Performance : best then any android (even 1+ 9 pro )Battery life  last for a day use anyhow.Super smooth software experience.Topnotch security level 💯Very lightweight to hold."
60,Very good
61,Mind blowing performance 🥰 Just awesome.
62,Very good & thank you so much Flipkart
63,"It’s my first iPhone ever and I bought it with my earned money through part time jobs in college✌️I am a tech freak so you can trust my views -- A14 Bionic is the fastest, most efficient and reliable processor till date- The camera focuses so quickly that you can take DSLR quality photos.- The screen size 6.1 inches is the most comfortable screen size out there and the OLED retina XDR display is so crisp and everything feels real.- The stereo speakers are so clear even on high volume an..."
64,"Delightful phone, the phone is just a peice of art, sleek, eye catchy, super fast and got everything u need...best one available"
65,Awesome camera performance and improvement in battery capacity
66,"It is my first iphone bought in bbd sale. Acc to me it is most value for money compare to others phone, everything is good display,sound,performance,everything except battery which is average acc to me. I charged my iphone 12 with 20W charger when my battery comes down to 40% and remove it from charging when it reaches to 80%. It takes about 30 min to charge it. My battery heath is still 100% acc to me which is good👍👍Here are some samples taken by me in iphone12🥰"
67,"Stunning look, very premium, awesome camera, I have a moderate use so I get 2 days battery life in single charge, overall very happy with the purchase and last but not the least Fast delivery by Flipkart."
68,Best in every department. ❤️I upgraded on iPhone from Samsung S20plus and after use almost 10 days I realise that it’s my good decision.
69,Overall Good PerformanceCamera is osm Battery also Good
70,Just too good 👌🏽
71,This was an awesome buy. I bought this phone for my father who was upgrading from an iPhone 6. He is very happy with this phone. The size is really good. He said that it was even more comfortable to hold than the 6 as it had flat sides. It is Smaller than most android phones but big enough for anything and everything.The performance is Stellar. You won't notice any lag and it's very fast. Ram management is good too. And the phone stays at a reasonable temperature even when using Gmaps. Th...
72,I think it’s price high according to its features bt display quality is too much awsm
73,Premium product👍
74,Super
75,"1. First and foremost - The early delivery of Flipkart - The products arrived two days early as expected. 2. First-time IOS user - IOS is superfast3. Built Quality - Excellent4. Display - LED - Excellent5. Photos - Wide-angle - Excellent,  Portrait - Excellent, Panorama - Excellent6. Video - Slowmotion 1080 to 240fps - Excellent, Video 4k @ 64 fps7. In-hand feel - Excellent8. As a status symbol - APPLE no wordsI have purchased in an offer so got it at a reasonable rate. Overall thank..."
76,Best smartphone under 60k
77,Very good Smartphone . Best performance and battery beck up is still impressive with low MAH. Sharp camera. Camera is wow. Without camera setting and knowledge you don’t take batter Photo. I Uploaded camera picture in day and night time at same location.
78,Very good phone
79,Quality Product❤️🔥
80,"I bought this iphone 12 in big billion days and saved alot thank you so much Flipkart for this amazing deal. The phone is great and has perfect camera, security and performance is ver good of this  phone. No lack at all.Battery backup is good you can spend a single day without charging it.Size is perfect as iPhone 11 has same screen size but diffcult to carry but this device is light and perfect in size.I give 4 star because they don’t other accessories now with iPhone."
81,Great looks and awesome in-hand feel
82,"Excellent phone, positives are clean OS excellent camera and beautiful display overall satisfied and happy to move from android to IOS"
83,This was my second iphone after the xr and i can say there’s a lot of difference in day to day tasks. First of all here are some pros• Amazing camera with very good nightmode. • Performance is top notch. • No heating issue like other phones while performing daily   tasks. • The design is very handy and gives a premium feel in hand. Now the cons• Battery is sufficient but could be better but it’s ok for a medium user. • only one con bro that’s iphone there’s no complaint 😎.
84,Nice
85,"I would use the Old Commercial tagline of Apple to describe it in one line, “If You Don’t have an iPhone, Well You Don’t have an iPhone”.          P.S - I have uploaded Outdoor, Indoor, Day light and Night Pictures to show the Magnificent Camera Quality."
86,"It's my first iphone ever n i brought it with all my earned money✌✌The best is yet to come n i am really happy with the product was delivered on time by flipkart Overall it's  light weighted, awesome camera quality n i love the purple color 😍🥰 so it's a dream come to true finally have a iphone ✌💯"
